URL,Size (Bytes),Number of Outlinks,Content Type
https://www.latimes.com/entertainment-arts/books/story/2024-09-25/diddy-kim-porter-memoir-book-sean-combs,400206,297,text/html
https://www.latimes.com/entertainment-arts/story/2024-05-23/review-george-bernard-shaw-misalliance-a-noise-within-review,379283,264,text/html
https://www.latimes.com/entertainment-arts/story/2024-05-30/jessica-lange-paula-vogel-mother-play-broadway-great-lillian-hall-hbo,418188,244,text/html
https://www.latimes.com/politics/story/2024-06-23/abortion-supreme-court-anniversary-dobbs-decision-mary-ziegler-leading-expert-roe-vs-wade,388987,289,text/html
https://www.latimes.com/people/faith-e-pinho,307254,222,text/html
https://www.latimes.com/opinion/story/2024-08-21/warren-hern-abortion-late-term-book-robin-abcarian,380465,273,text/html
https://www.latimes.com/entertainment-arts/story/2024-09-27/maggie-smith-death-appreciation-harry-potter,377140,266,text/html
https://www.latimes.com/entertainment-arts/story/2024-08-23/review-tarell-alvin-mccraney-geffen-playhouse-brothers-size,387967,270,text/html
https://www.latimes.com/entertainment-arts/music/story/2024-05-21/diddy-bodyguard-cassie-kim-porter-physical-assault,416621,303,text/html
https://www.latimes.com/entertainment-arts/story/2024-08-03/company-revival-review-hollywood-pantages-gender-swapped-sondheim,395216,274,text/html
https://www.latimes.com/entertainment-arts/story/2024-08-05/amy-sherman-palladino-gilmore-girls-once-upon-a-mattress-marvelous-mrs-maisel-sutton-foster,390427,255,text/html
https://www.latimes.com/politics/story/2024-08-30/polls-harris-trump-dnc-bump-fox,390439,291,text/html
https://www.latimes.com/world-nation/story/2024-08-12/dozens-of-pregnant-women-some-bleeding-or-in-labor-being-turned-away-from-ers-despite-federal-law,383385,264,text/html
https://www.latimes.com/opinion/story/2024-08-26/trump-veto-abortion-ban-jd-vance,384634,276,text/html
https://www.latimes.com/entertainment/arts/la-et-cm-sam-shepard-appreciation-theater-20170731-story.html,380091,265,text/html
https://www.latimes.com/entertainment-arts/music/story/2024-09-26/creed-bratton-new-album-tao-pop-the-office,408200,266,text/html
