URL,Size (Bytes),Number of Outlinks,Content Type
https://www.foxnews.com/video/6362062085112,73388,35,text/html
https://www.foxnews.com/video/6362062969112,74444,35,text/html
https://www.foxnews.com/video/929675979001,64685,28,text/html
https://www.foxnews.com/video/929675996001,64347,28,text/html
https://www.foxnews.com/video/6098249788001,68356,33,text/html
https://www.foxnews.com/category/world/world-regions/israel,124766,324,text/html
https://www.foxnews.com/us/marine-initially-survived-osprey-crash-died-trying-save-pilots-from-flaming-wreckage-probe-finds,234642,298,text/html
https://www.foxnews.com/world/hamas-terrorists-instructions-using-cyanide-based-chemical-bombs-linking-al-qaeda-reports,238362,293,text/html
https://www.foxnews.com/video/6362150797112,75067,34,text/html
https://www.foxnews.com/video/6362149169112,74361,34,text/html
https://www.foxnews.com/video/6362151106112,73949,34,text/html
https://www.foxnews.com/video/6362152823112,72912,34,text/html
https://www.foxnews.com/video/topics/world/terrorism,315940,106,text/html
https://www.foxnews.com/video/topics/world,327067,106,text/html
https://www.foxnews.com/video/6356505417112,69224,36,text/html
https://www.foxnews.com/world/israeli-american-reservist-killed-hezbollah-missile-israel-idf-says,235711,294,text/html
https://www.foxnews.com/video/topics/world/world-regions/middle-east,348227,106,text/html
https://www.foxnews.com/politics/mcconnell-calls-china-russia-iran-new-axis-evil-us-must-deal-emergency,252797,307,text/html
https://www.foxnews.com/world/israel-security-agency-creates-new-unit-hunt-kill-every-hamas-terrorist-oct-7-surprise-attacks-report,235575,294,text/html
https://www.foxnews.com/video/topics/us/crime,291337,106,text/html
https://www.foxnews.com/video/6359481213112,66785,30,text/html
https://www.foxnews.com/video/6309724112112,70572,31,text/html
https://www.foxnews.com/video/topics/faith-values/values,306672,106,text/html
https://www.foxnews.com/world/israel-remains-focused-destroying-hamas-despite-ceasefire-calls-no-other-option,277699,304,text/html
https://www.foxnews.com/video/6362119120112,73961,35,text/html
https://www.foxnews.com/world/xi-gushes-dear-friend-putin-duo-meet-china,231796,294,text/html
https://www.foxnews.com/world/israel-reports-killing-top-hamas-commanders-eliminating-key-terror-operatives-gaza-airstrikes,242112,294,text/html
https://www.foxnews.com/video/6362358399112,67720,33,text/html
https://www.foxnews.com/video/6362372701112,72708,36,text/html
